,census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
Brooklyn,043700,"1,293",28,307,0,14,0,2,9,933
Brooklyn,043800,620,513,5,2,35,0,0,10,55
Brooklyn,043900,967,41,96,1,46,0,5,13,765
Brooklyn,044000,891,756,0,3,33,0,2,6,91
Brooklyn,044100,"1,296",59,37,1,92,0,15,11,"1,081"
Brooklyn,044200,871,797,0,3,19,0,4,7,41
Brooklyn,044300,"1,397",88,41,8,111,0,23,10,"1,116"
Brooklyn,044400,897,744,7,0,32,0,7,6,101
Brooklyn,044500,974,47,16,3,90,0,19,14,785
Brooklyn,044600,387,156,2,0,122,0,1,9,97
Brooklyn,044700,570,22,136,3,11,0,2,8,388
Brooklyn,044800,534,454,6,0,44,0,0,7,23
Brooklyn,044900,607,49,229,0,4,0,5,16,304
Brooklyn,045000,240,218,0,0,6,0,0,5,11
Brooklyn,045200,848,809,7,0,13,0,4,3,12
Brooklyn,045300,283,5,7,0,2,0,2,1,266
Brooklyn,045400,599,508,4,0,40,0,0,3,44
Brooklyn,045600,615,405,7,0,141,1,0,5,56
Brooklyn,045800,452,440,0,0,2,0,0,1,9
Brooklyn,046000,890,361,43,3,347,0,13,17,106
Brooklyn,046201,682,480,6,0,101,0,2,21,72
Brooklyn,046202,606,536,0,4,8,0,0,6,52
Brooklyn,046400,"1,325","1,262",4,0,20,0,1,3,35
Brooklyn,046800,985,956,0,0,3,1,0,9,16
Brooklyn,047000,"1,214","1,197",0,0,1,1,0,6,9
Brooklyn,047200,"1,417","1,389",16,0,0,0,0,6,6
Brooklyn,047400,"1,231","1,216",0,0,1,0,2,7,5
Brooklyn,047600,"1,495","1,401",6,0,13,0,6,17,52
Brooklyn,047700,235,105,1,0,11,0,3,21,94
Brooklyn,047800,"1,897","1,590",14,0,59,0,10,17,207
Brooklyn,048000,"1,353","1,042",16,0,122,0,1,24,148
Brooklyn,048100,263,63,1,0,30,0,1,5,163
Brooklyn,048200,"1,224",482,81,8,450,0,1,52,150
Brooklyn,048400,"1,878","1,392",65,1,137,0,15,27,241
Brooklyn,048500,235,14,24,0,6,0,5,5,181
Brooklyn,048600,"1,108",295,20,8,440,0,3,43,299
Brooklyn,048800,"1,220",654,46,8,274,0,4,50,184
Brooklyn,048900,"1,178",13,502,2,4,0,0,5,652
Brooklyn,049000,"1,410",789,79,5,290,0,20,59,168
Brooklyn,049100,"1,306",276,183,1,303,0,6,12,525
Brooklyn,049200,866,277,106,2,215,0,17,26,223
Brooklyn,049300,"1,551",47,294,2,7,0,9,20,"1,172"
Brooklyn,049400,"1,066",483,101,2,226,0,8,47,199
Brooklyn,049500,256,82,3,0,24,1,1,7,138
Brooklyn,049600,"1,025",276,16,1,378,1,6,31,316
Brooklyn,049700,190,138,2,0,12,0,0,8,30
Brooklyn,049800,918,262,22,3,380,0,5,37,209
Brooklyn,049900,179,114,3,0,4,0,2,9,47
Brooklyn,050000,648,320,27,3,120,0,21,27,130
Brooklyn,050100,243,134,3,0,10,0,0,7,89
Brooklyn,050202,412,276,22,0,12,0,4,23,75
Brooklyn,050300,276,111,3,0,9,0,3,5,145
Brooklyn,050400,852,387,90,2,142,0,13,53,165
Brooklyn,050500,706,33,130,1,91,0,2,12,437
Brooklyn,050600,"1,526",73,549,13,67,0,20,24,780
Brooklyn,050700,"1,199",992,40,0,4,1,2,8,152
Brooklyn,050801,"1,022",29,683,2,24,0,7,20,257
Brooklyn,050803,490,10,366,3,5,0,0,9,97
Brooklyn,050804,"1,499",30,755,2,37,0,11,17,647
Brooklyn,050900,"2,220","2,092",4,2,1,0,5,7,109
Brooklyn,051001,971,21,735,4,8,0,4,4,195
Brooklyn,051002,"1,150",23,786,5,7,0,7,21,301
Brooklyn,051100,620,44,29,0,134,0,0,4,409
Brooklyn,051200,"1,550",67,896,5,39,1,4,34,504
Brooklyn,051300,488,71,24,0,4,0,1,5,383
Brooklyn,051400,"1,709",96,838,8,135,0,13,42,577
Brooklyn,051500,125,65,2,2,6,0,0,7,43
Brooklyn,051601,"1,510",23,"1,045",8,53,0,3,22,356
Brooklyn,051602,994,9,691,0,15,0,9,18,252
Brooklyn,051700,124,77,1,0,2,0,2,4,38
Brooklyn,051800,651,111,330,1,71,0,7,14,117
Brooklyn,051900,326,153,2,0,31,0,1,11,128
Brooklyn,052000,"1,040",140,186,11,375,0,7,33,288
Brooklyn,052300,904,78,10,4,21,0,1,11,779
Brooklyn,052500,"1,190",870,61,0,0,0,13,1,245
Brooklyn,052600,960,226,189,14,274,0,12,55,190
Brooklyn,052700,"1,441",171,33,0,22,0,8,10,"1,197"
Brooklyn,052800,450,177,26,4,162,0,7,14,60
Brooklyn,052900,"1,775","1,695",0,1,1,0,3,24,51
Brooklyn,053000,971,616,35,1,184,0,8,17,110
Brooklyn,053100,"4,093","4,023",2,0,1,0,1,6,60
Brooklyn,053200,612,417,32,0,109,0,0,6,48
Brooklyn,053300,"3,007","2,974",2,0,1,1,1,1,27
Brooklyn,053400,"1,298",846,63,4,264,0,1,17,103
Brooklyn,053500,"1,986","1,901",1,0,3,0,3,6,72
Brooklyn,053700,"1,907","1,904",0,0,1,0,1,1,0
Brooklyn,053800,875,632,14,3,133,0,4,21,68
Brooklyn,053900,"1,063",930,24,2,0,0,3,10,94
Brooklyn,054200,"1,203",990,2,0,84,0,2,11,114
Brooklyn,054300,35,15,2,0,2,0,2,10,4
Brooklyn,054400,804,685,11,0,76,0,5,8,19
Brooklyn,054500,"3,355","2,630",194,11,0,0,22,10,488
Brooklyn,054600,810,639,31,4,65,0,6,18,47
Brooklyn,054700,"2,145","1,798",71,1,15,2,14,25,219
Brooklyn,054800,542,507,1,0,10,0,0,6,18
Brooklyn,054900,890,777,5,0,6,0,2,12,88
Brooklyn,055000,789,623,12,0,46,0,3,24,81
Brooklyn,055100,652,118,35,1,26,0,3,15,454
Brooklyn,055200,645,403,16,0,138,0,4,17,67
Brooklyn,055300,221,91,10,3,13,0,4,8,92
Brooklyn,055400,848,609,11,4,100,0,1,28,95
Brooklyn,055500,267,116,18,3,25,0,2,13,90
Brooklyn,055600,976,841,2,0,78,0,2,16,37
Brooklyn,055700,134,85,6,0,10,0,1,9,23
Brooklyn,055800,528,368,8,0,88,0,4,6,54
Brooklyn,056000,705,623,2,0,34,0,4,15,27
Brooklyn,056100,359,233,1,0,22,0,2,15,86
Brooklyn,056200,483,454,1,0,22,0,0,4,2
Brooklyn,056300,460,170,3,0,48,0,3,18,218
Brooklyn,056400,505,392,18,0,63,0,1,8,23
Brooklyn,056500,301,187,3,0,23,0,0,14,74
Brooklyn,056600,425,243,27,0,100,0,2,23,30
Brooklyn,056800,254,151,3,0,72,0,0,2,26
Brooklyn,056900,166,122,1,1,2,0,0,4,36
Brooklyn,057000,466,210,11,0,162,0,1,10,72
Brooklyn,057100,449,386,0,0,10,0,2,8,43
Brooklyn,057200,"1,543",45,921,6,60,0,5,36,470
Brooklyn,057300,303,228,0,3,16,0,2,13,41
Brooklyn,057400,518,226,3,0,239,0,4,8,38
Brooklyn,057500,445,231,7,3,41,1,5,17,140
Brooklyn,057600,547,237,4,0,269,0,2,10,25
Brooklyn,057800,708,367,6,0,190,0,1,38,106
Brooklyn,057900,188,36,5,0,13,0,9,6,119
Brooklyn,058000,768,341,14,0,299,0,0,14,100
Brooklyn,058200,776,432,8,2,217,0,0,11,106
Brooklyn,058400,725,530,11,0,140,0,1,7,36
Brooklyn,058600,523,142,20,0,286,0,4,11,60
Brooklyn,058800,501,319,5,3,122,0,4,9,39
Brooklyn,058900,210,168,1,0,5,0,2,9,25
Brooklyn,059000,414,150,13,0,171,0,3,5,72
Brooklyn,059100,443,354,6,0,4,0,0,8,71
Brooklyn,059200,655,367,7,0,204,0,4,32,41
Brooklyn,059300,300,201,1,0,6,0,3,7,82
Brooklyn,059401,"1,342",676,6,3,542,0,5,24,86
Brooklyn,059402,689,456,12,0,160,0,0,10,51
Brooklyn,059600,280,207,6,0,31,0,2,10,24
Brooklyn,059800,736,564,20,0,65,0,0,39,48
Brooklyn,060000,977,729,17,0,106,1,3,23,98
Brooklyn,060600,378,229,1,0,80,0,3,6,59
Brooklyn,060800,570,414,6,1,91,0,3,8,47
Brooklyn,061002,682,645,0,2,6,0,2,12,15
Brooklyn,061003,494,83,6,3,135,0,9,18,240
Brooklyn,061004,885,670,4,1,72,0,3,15,120
Brooklyn,061200,218,209,0,0,2,0,0,2,5
Brooklyn,061600,251,239,0,0,3,0,0,5,4
Brooklyn,062000,385,370,2,0,5,0,0,7,1
Brooklyn,062200,505,285,93,0,20,0,0,22,85
Brooklyn,062600,502,199,54,0,124,0,10,14,101
Brooklyn,062800,"1,093",913,0,1,33,1,0,15,130
Brooklyn,063200,201,161,0,0,17,0,2,0,21
Brooklyn,063600,280,222,1,0,18,0,1,4,34
Brooklyn,063800,240,194,1,0,22,0,0,7,16
Brooklyn,064000,408,326,4,0,36,0,1,6,35
Brooklyn,064200,631,491,8,3,41,0,1,4,83
Brooklyn,064400,829,684,14,0,56,0,0,7,68
Brooklyn,064600,673,562,18,0,37,0,0,13,43
Brooklyn,064800,573,316,115,1,45,0,4,19,73
Brooklyn,065000,267,46,112,0,44,0,0,13,52
Brooklyn,065200,287,185,10,0,37,0,0,14,41
Brooklyn,065400,403,345,3,0,13,0,1,8,33
Brooklyn,065600,395,323,7,0,17,0,2,15,31
Brooklyn,065800,379,287,4,0,38,0,2,12,36
Brooklyn,066000,401,301,0,0,34,0,0,5,61
Brooklyn,066200,277,158,7,0,44,2,0,13,53
Brooklyn,066600,0,0,0,0,0,0,0,0,0
Brooklyn,067000,631,77,388,3,37,0,8,19,99
Brooklyn,067200,362,22,233,3,11,0,2,20,71
Brooklyn,067400,401,45,260,6,20,0,6,12,52
Brooklyn,067600,349,16,284,3,6,0,3,15,22
Brooklyn,067800,539,42,451,1,6,0,2,11,26
Brooklyn,068000,459,24,299,0,28,0,5,23,80
Brooklyn,068200,557,50,360,0,29,0,8,11,99
Brooklyn,068600,277,109,75,2,37,0,8,8,38
Brooklyn,068800,346,68,186,1,33,0,2,8,48
Brooklyn,069000,396,46,272,0,19,0,0,6,53
Brooklyn,069200,571,32,433,0,10,1,8,19,68
Brooklyn,069601,920,365,365,2,20,0,3,18,147
Brooklyn,069602,"1,408",870,274,1,75,0,13,37,138
Brooklyn,069800,299,233,21,0,9,0,2,7,27
Brooklyn,070000,362,324,6,3,4,0,0,1,24
Brooklyn,070201,"1,467","1,364",8,0,16,0,4,10,65
Brooklyn,070202,10,5,5,0,0,0,0,0,0
Brooklyn,070203,0,0,0,0,0,0,0,0,0
Brooklyn,070600,507,444,0,0,8,0,1,11,43
Brooklyn,072000,598,26,505,1,23,0,2,13,28
Brooklyn,072200,508,9,447,3,9,0,2,7,31
Brooklyn,072400,332,2,303,1,0,0,7,8,11
Brooklyn,072600,413,0,368,0,0,0,6,19,20
Brooklyn,072800,590,20,499,1,5,0,1,11,53
Brooklyn,073000,339,10,309,0,2,0,3,1,14
Brooklyn,073200,395,11,324,0,23,0,3,3,31
Brooklyn,073400,395,6,333,0,11,0,2,6,37
Brooklyn,073600,840,65,550,3,115,1,2,31,73
Brooklyn,073800,894,341,382,6,32,0,7,17,109
Brooklyn,074000,941,87,553,0,121,0,12,32,136
Brooklyn,074200,"1,070",668,298,1,29,0,2,17,55
Brooklyn,074400,"1,068","1,024",23,0,3,0,0,2,16
Brooklyn,074600,646,465,83,1,39,0,0,13,45
Brooklyn,074800,707,581,83,0,13,0,0,5,25
Brooklyn,075000,"1,069",898,92,2,15,0,4,7,51
Brooklyn,075200,354,353,1,0,0,0,0,0,0
Brooklyn,075400,480,480,0,0,0,0,0,0,0
Brooklyn,075600,627,565,11,0,36,0,0,2,13
Brooklyn,075800,489,463,0,0,9,0,1,0,16
Brooklyn,076000,667,568,7,0,52,0,0,14,26
Brooklyn,076200,993,505,95,4,187,0,3,12,187
Brooklyn,076400,789,154,433,4,36,0,4,12,146
Brooklyn,076600,501,16,401,2,8,0,1,2,71
Brooklyn,076800,"1,045",849,15,2,90,0,0,8,81
Brooklyn,077000,586,21,403,8,5,0,4,16,129
Brooklyn,077200,830,321,366,2,17,1,1,12,110
Brooklyn,077400,734,166,383,0,79,0,1,14,91
Brooklyn,077600,751,36,549,7,47,0,4,25,83
Brooklyn,078000,424,4,386,2,5,0,0,5,22
Brooklyn,078200,888,4,822,1,1,0,13,4,43
Brooklyn,078400,496,2,427,3,12,0,2,5,45
Brooklyn,078600,940,21,699,8,55,0,2,11,144
Brooklyn,078800,876,5,740,0,3,0,5,28,95
Brooklyn,079000,"1,219",13,"1,030",9,19,0,3,15,130
Brooklyn,079200,"1,218",18,949,5,13,0,4,29,200
Brooklyn,079400,476,11,392,2,1,0,1,7,62
Brooklyn,079601,912,77,662,0,6,0,2,20,145
Brooklyn,079602,"1,094",31,843,7,3,0,8,16,186
Brooklyn,079801,492,58,351,0,9,0,1,28,45
Brooklyn,079802,"1,031",82,772,7,17,0,6,32,115
Brooklyn,080000,725,94,519,1,14,0,4,27,66
Brooklyn,080200,943,24,779,3,3,0,20,25,89
Brooklyn,080400,750,53,592,6,13,0,5,16,65
Brooklyn,080600,960,395,493,3,1,1,6,12,49
Brooklyn,080800,27,8,18,0,0,0,1,0,0
Brooklyn,081000,503,8,448,1,7,0,1,7,31
Brooklyn,081400,547,0,491,0,5,0,0,16,35
Brooklyn,081600,673,4,593,0,13,0,0,18,45
Brooklyn,081800,974,12,770,2,16,0,11,21,142
Brooklyn,082000,"1,339",24,"1,098",3,22,0,10,27,155
Brooklyn,082200,"1,541",22,"1,323",3,10,0,5,28,150
Brooklyn,082400,"1,132",5,979,1,17,0,0,20,110
Brooklyn,082600,"1,301",25,"1,118",4,6,1,6,26,115
Brooklyn,082800,896,8,750,12,9,0,4,15,98
Brooklyn,083000,"1,526",4,"1,352",2,10,0,8,30,120
Brooklyn,083200,501,3,452,4,11,1,4,2,24
Brooklyn,083400,323,0,292,1,2,0,0,12,16
Brooklyn,083600,416,2,380,1,4,0,4,5,20
Brooklyn,083800,396,1,350,0,1,0,1,16,27
Brooklyn,084000,464,5,411,1,1,0,2,9,35
Brooklyn,084600,391,15,329,0,0,0,5,18,24
Brooklyn,084800,379,0,360,0,1,0,0,4,14
Brooklyn,085000,267,2,248,1,0,0,0,6,10
Brooklyn,085200,7,0,7,0,0,0,0,0,0
Brooklyn,085400,440,4,394,0,3,0,3,3,33
Brooklyn,085600,784,9,688,4,2,0,4,12,65
Brooklyn,085800,546,2,493,4,2,0,0,10,35
Brooklyn,086000,813,15,735,5,9,0,1,6,42
Brooklyn,086200,692,6,639,5,3,0,10,3,26
Brooklyn,086400,511,3,472,3,0,0,0,4,29
Brooklyn,086600,703,1,662,0,1,0,1,10,28
Brooklyn,086800,741,25,661,5,9,0,3,6,32
Brooklyn,087000,703,9,642,2,2,0,0,2,46
Brooklyn,087200,584,2,549,0,0,2,1,11,19
Brooklyn,087401,612,61,486,0,5,0,4,11,45
Brooklyn,087600,467,134,310,0,0,0,1,4,18
Brooklyn,087800,592,2,545,1,0,0,3,8,33
Brooklyn,088000,635,18,547,4,2,0,4,10,50
Brooklyn,088200,"1,673",1,"1,532",6,7,0,2,21,104
Brooklyn,088400,"1,370",10,"1,244",5,13,0,0,29,69
Brooklyn,088600,"1,032",7,923,0,9,0,0,6,87
Brooklyn,088800,"1,007",2,861,2,4,3,0,18,117
Brooklyn,089000,"1,575",3,"1,372",3,9,0,3,15,170
Brooklyn,089200,961,0,838,1,1,2,3,22,94
Brooklyn,089400,947,10,777,4,3,0,10,17,126
Brooklyn,089600,"1,012",7,857,3,27,1,4,8,105
Brooklyn,089800,590,7,514,0,4,0,6,7,52
Brooklyn,090000,"1,642",2,"1,280",10,0,2,7,27,314
Brooklyn,090200,"1,069",7,745,5,10,1,5,14,282
Brooklyn,090600,"1,596",9,"1,057",4,6,0,1,16,503
Brooklyn,090800,"1,379",13,887,1,1,0,0,26,451
Brooklyn,091000,"1,704",4,"1,151",5,10,0,1,19,514
Brooklyn,091200,"2,274",27,"1,454",8,6,0,2,32,745
Brooklyn,091600,"1,249",12,"1,027",1,4,0,4,16,185
Brooklyn,091800,779,2,460,3,0,0,4,7,303
Brooklyn,092000,982,4,825,2,4,0,6,7,134
Brooklyn,092200,622,3,548,4,0,0,2,11,54
Brooklyn,092400,868,6,675,0,6,0,8,6,167
Brooklyn,092800,566,6,507,0,4,0,1,9,39
Brooklyn,093000,475,0,450,0,4,0,2,9,10
Brooklyn,093200,202,1,188,1,0,0,0,1,11
Brooklyn,093400,412,1,380,0,4,0,2,5,20
Brooklyn,093600,376,0,330,2,0,0,2,4,38
Brooklyn,093800,532,1,489,0,1,0,5,5,31
Brooklyn,094401,679,6,622,1,0,0,1,10,39
Brooklyn,094402,853,8,683,9,3,0,1,6,143
Brooklyn,094600,354,4,322,1,5,0,1,2,19
Brooklyn,095000,602,8,564,0,1,0,3,3,23
Brooklyn,095400,"1,053",12,978,1,0,0,3,12,47
Brooklyn,095600,975,8,881,3,12,0,3,10,58
Brooklyn,095800,842,16,741,2,20,0,3,8,52
Brooklyn,096000,0,0,0,0,0,0,0,0,0
Brooklyn,096200,440,22,365,1,4,0,0,3,45
Brooklyn,096400,562,20,463,0,8,0,3,8,60
Brooklyn,096600,533,14,432,0,21,0,5,14,47
Brooklyn,096800,378,18,255,0,3,0,5,19,78
Brooklyn,097000,480,20,367,0,15,0,1,8,69
Brooklyn,097400,599,22,524,2,5,0,4,6,36
Brooklyn,098200,"1,331",8,960,2,3,0,2,42,314
Brooklyn,098400,483,3,446,0,1,0,7,1,25
Brooklyn,098600,663,4,604,1,6,0,6,6,36
Brooklyn,098800,617,20,533,0,4,0,7,11,42
Brooklyn,099000,350,11,268,1,27,1,2,6,34
Brooklyn,099200,452,16,368,0,19,0,0,16,33
Brooklyn,099400,533,9,470,1,0,0,1,11,41
Brooklyn,099600,891,12,811,0,10,0,2,21,35
Brooklyn,099800,908,21,802,2,12,0,5,16,50
Brooklyn,100400,585,5,526,0,2,0,4,4,44
Brooklyn,100600,582,12,499,0,11,0,0,11,49
Brooklyn,100800,540,25,435,4,17,0,1,15,43
Brooklyn,101000,606,22,470,1,40,0,2,22,49
Brooklyn,101200,464,12,397,1,12,0,4,11,27
Brooklyn,101400,481,11,404,0,13,1,3,8,41
Brooklyn,101600,344,0,312,0,6,0,0,7,19
Brooklyn,101800,402,18,345,2,2,0,0,4,31
Brooklyn,102000,428,7,378,1,0,0,2,14,26
Brooklyn,102200,499,8,382,0,46,0,3,4,56
Brooklyn,102400,537,12,453,1,14,0,3,4,50
Brooklyn,102600,662,2,596,4,2,0,7,16,35
Brooklyn,102800,399,0,329,1,15,0,0,5,49
Brooklyn,103400,"1,216",13,883,8,0,0,2,18,292
Brooklyn,105801,"1,344",130,877,5,32,0,4,17,279
Brooklyn,105804,"1,279",125,846,5,13,0,3,24,263
Brooklyn,107000,71,0,63,0,0,0,0,1,7
Brooklyn,107800,684,2,609,1,1,0,3,15,53
Brooklyn,109800,603,4,482,0,10,0,1,12,94
Brooklyn,110400,"1,236",11,965,4,0,0,11,21,224
Brooklyn,110600,"1,316",10,938,7,8,1,0,16,336
Brooklyn,111000,917,4,682,4,0,0,0,10,217
Brooklyn,111600,956,1,732,6,7,0,1,13,196
Brooklyn,111800,938,11,637,1,5,4,5,5,270
Brooklyn,112000,815,9,506,3,13,0,3,3,278
Brooklyn,112200,960,8,732,6,5,0,1,17,191
Brooklyn,112400,"1,025",7,805,2,0,0,5,13,193
Brooklyn,112600,"1,103",12,790,1,6,1,2,11,280
Brooklyn,112800,"1,008",9,762,2,2,0,1,11,221
Brooklyn,113000,"1,173",2,865,7,1,0,10,17,271
Brooklyn,113200,509,0,397,0,0,0,0,6,106
Brooklyn,113400,"1,045",3,655,3,6,0,5,9,364
Brooklyn,114201,370,3,101,8,3,0,1,5,249
Brooklyn,114202,805,8,242,6,10,0,5,14,520
Brooklyn,114400,777,5,419,1,11,6,11,7,317
Brooklyn,114600,832,6,268,2,28,0,7,17,504
Brooklyn,115000,885,2,442,1,6,0,6,13,415
Brooklyn,115200,"1,047",0,685,1,16,1,5,19,320
Brooklyn,115600,"1,431",16,865,3,16,0,7,9,515
Brooklyn,115800,837,3,597,0,4,0,4,7,222
Brooklyn,116000,725,8,467,0,0,0,2,13,235
Brooklyn,116200,537,0,422,1,0,0,3,10,101
Brooklyn,116400,792,0,494,1,18,0,15,6,258
Brooklyn,116600,891,7,485,0,27,0,1,7,364
Brooklyn,116800,609,5,168,2,14,0,16,8,396
Brooklyn,117000,550,11,112,7,35,1,21,7,356
Brooklyn,117201,729,18,130,2,19,1,31,7,521
Brooklyn,117202,"1,133",17,273,7,30,0,36,17,753
Brooklyn,117400,"1,242",30,230,15,43,2,49,5,868
Brooklyn,117601,802,20,113,12,19,0,45,15,578
Brooklyn,117602,909,14,162,0,46,0,35,25,627
Brooklyn,117800,490,10,85,6,66,0,26,20,277
Brooklyn,118000,1,0,1,0,0,0,0,0,0
Brooklyn,118201,860,20,114,8,57,0,21,34,606
Brooklyn,118202,870,16,95,2,63,0,30,15,649
Brooklyn,118400,"1,474",39,167,15,91,3,30,37,"1,092"
Brooklyn,118600,811,12,115,8,131,0,52,20,473
Brooklyn,118800,"1,379",23,192,21,498,1,67,57,520
Brooklyn,119000,688,7,203,12,85,1,46,27,307
Brooklyn,119200,898,6,441,1,43,3,1,6,397
Brooklyn,119400,"1,133",5,728,3,17,0,9,8,363
Brooklyn,119600,"1,577",19,641,5,359,0,25,34,494
Brooklyn,119800,980,23,357,0,24,3,16,9,548
Brooklyn,120000,558,8,233,4,137,0,17,17,142
Brooklyn,120200,576,11,66,15,299,3,34,18,130
Brooklyn,120800,"2,509",16,"1,845",20,65,0,13,33,517
Brooklyn,121000,"1,250",11,575,0,0,0,11,13,640
Brooklyn,121400,"1,480",7,865,5,6,0,4,10,583
Brooklyn,122000,"1,802",24,"1,367",3,19,0,5,22,362
Brooklyn,123700,"3,336","2,934",47,0,1,14,21,21,298
Brooklyn,150200,503,288,12,0,39,0,5,23,136
Brooklyn,152200,760,233,143,6,190,0,19,40,129
Brooklyn,990100,0,0,0,0,0,0,0,0,0