index,School Year,Grade Level,Count of Students,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race),Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
18,20092010,K,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,78.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,4.00,13.00,20.00,38.00
20,20092010,K,6.00,476.00,10.00,6.00,3.00,20.00,0.00,1.00,3.00,433.00,614.00,35.00,54.00,50.00,27.00,30.00,85.00,53.00,42.00,25.00,22.00,27.00,26.00,45.00,31.00,28.00,34.00
22,20092010,K,53.00,982.00,68.00,29.00,4.00,81.00,0.00,7.00,20.00,773.00,1237.00,63.00,130.00,118.00,62.00,50.00,161.00,83.00,88.00,45.00,54.00,60.00,68.00,58.00,66.00,54.00,77.00
30,20092010,K,11.00,362.00,194.00,9.00,0.00,47.00,0.00,0.00,30.00,82.00,439.00,24.00,39.00,45.00,20.00,14.00,59.00,42.00,36.00,20.00,18.00,24.00,21.00,15.00,19.00,20.00,23.00
34,20092010,K,25.00,547.00,306.00,0.00,0.00,102.00,0.00,0.00,26.00,113.00,664.00,38.00,77.00,63.00,35.00,29.00,97.00,61.00,48.00,23.00,23.00,33.00,20.00,29.00,25.00,28.00,35.00
36,20092010,K,30.00,625.00,330.00,7.00,0.00,137.00,0.00,3.00,26.00,122.00,734.00,54.00,93.00,89.00,41.00,30.00,86.00,52.00,46.00,33.00,42.00,32.00,27.00,32.00,33.00,27.00,17.00
38,20092010,K,6.00,236.00,157.00,2.00,0.00,32.00,0.00,3.00,13.00,29.00,293.00,19.00,33.00,31.00,4.00,20.00,28.00,20.00,21.00,16.00,13.00,16.00,15.00,14.00,17.00,11.00,15.00
44,20092010,K,19.00,431.00,368.00,1.00,0.00,32.00,0.00,0.00,2.00,28.00,515.00,14.00,32.00,40.00,23.00,28.00,74.00,46.00,62.00,34.00,26.00,26.00,26.00,22.00,22.00,16.00,24.00
46,20092010,K,9.00,269.00,210.00,5.00,0.00,22.00,0.00,2.00,1.00,29.00,331.00,10.00,31.00,22.00,17.00,14.00,55.00,22.00,39.00,17.00,17.00,8.00,17.00,15.00,13.00,21.00,13.00
50,20092010,K,20.00,420.00,343.00,0.00,0.00,25.00,0.00,1.00,10.00,41.00,484.00,32.00,57.00,38.00,24.00,33.00,66.00,39.00,50.00,19.00,27.00,22.00,13.00,16.00,11.00,20.00,17.00
51,20092010,K,0.00,368.00,196.00,15.00,0.00,25.00,0.00,1.00,28.00,103.00,405.00,57.00,50.00,67.00,17.00,26.00,60.00,34.00,24.00,7.00,7.00,4.00,15.00,6.00,8.00,9.00,14.00
52.01,20092010,K,13.00,193.00,155.00,0.00,1.00,4.00,0.00,0.00,13.00,20.00,215.00,19.00,34.00,23.00,19.00,5.00,25.00,15.00,15.00,14.00,7.00,8.00,9.00,8.00,6.00,3.00,5.00
52.02,20092010,K,15.00,286.00,218.00,1.00,0.00,22.00,0.00,0.00,16.00,29.00,333.00,36.00,46.00,49.00,15.00,17.00,36.00,24.00,18.00,10.00,11.00,13.00,11.00,12.00,8.00,10.00,17.00
54,20092010,K,11.00,426.00,266.00,7.00,0.00,55.00,0.00,0.00,12.00,86.00,510.00,34.00,57.00,63.00,26.00,30.00,60.00,35.00,35.00,23.00,16.00,28.00,19.00,18.00,11.00,29.00,26.00
56.01,20092010,K,8.00,300.00,224.00,0.00,0.00,17.00,1.00,0.00,14.00,44.00,356.00,23.00,44.00,48.00,12.00,19.00,38.00,23.00,23.00,15.00,19.00,11.00,25.00,6.00,18.00,15.00,17.00
56.02,20092010,K,3.00,204.00,146.00,2.00,0.00,24.00,0.00,0.00,7.00,25.00,230.00,20.00,35.00,25.00,9.00,14.00,31.00,15.00,19.00,6.00,8.00,14.00,8.00,6.00,8.00,4.00,8.00
58,20092010,K,23.00,484.00,307.00,5.00,3.00,63.00,0.00,3.00,16.00,87.00,600.00,38.00,55.00,71.00,35.00,28.00,75.00,38.00,59.00,22.00,20.00,25.00,18.00,29.00,25.00,32.00,30.00
60,20092010,K,24.00,613.00,329.00,12.00,0.00,81.00,0.00,1.00,28.00,162.00,746.00,57.00,97.00,88.00,35.00,33.00,97.00,51.00,52.00,29.00,33.00,21.00,20.00,39.00,29.00,26.00,39.00
62,20092010,K,33.00,581.00,357.00,5.00,0.00,98.00,0.00,1.00,24.00,96.00,696.00,24.00,76.00,60.00,32.00,38.00,93.00,65.00,50.00,42.00,28.00,36.00,37.00,30.00,26.00,31.00,28.00
64,20092010,K,34.00,716.00,435.00,11.00,0.00,70.00,0.00,16.00,18.00,166.00,850.00,59.00,71.00,87.00,45.00,43.00,115.00,89.00,72.00,45.00,36.00,32.00,22.00,29.00,33.00,31.00,41.00
66,20092010,K,30.00,703.00,406.00,7.00,0.00,62.00,0.00,3.00,34.00,191.00,857.00,55.00,75.00,94.00,44.00,33.00,109.00,57.00,72.00,48.00,35.00,45.00,36.00,31.00,43.00,37.00,43.00
68,20092010,K,64.00,1175.00,542.00,30.00,2.00,168.00,0.00,10.00,46.00,377.00,1457.00,58.00,142.00,135.00,71.00,62.00,200.00,112.00,126.00,71.00,53.00,74.00,71.00,62.00,81.00,75.00,64.00
70,20092010,K,10.00,414.00,209.00,19.00,0.00,62.00,0.00,1.00,21.00,102.00,495.00,25.00,41.00,63.00,17.00,20.00,66.00,41.00,53.00,25.00,24.00,15.00,24.00,18.00,16.00,25.00,22.00
72,20092010,K,21.00,479.00,40.00,1.00,0.00,91.00,0.00,0.00,4.00,343.00,621.00,33.00,63.00,45.00,24.00,21.00,74.00,55.00,51.00,23.00,29.00,33.00,28.00,27.00,37.00,41.00,37.00
74,20092010,K,95.00,1373.00,42.00,10.00,1.00,275.00,0.00,0.00,18.00,1027.00,1727.00,81.00,150.00,174.00,84.00,96.00,212.00,135.00,146.00,75.00,78.00,79.00,63.00,89.00,70.00,95.00,100.00
75,20092010,K,0.00,736.00,525.00,11.00,0.00,22.00,0.00,9.00,66.00,103.00,817.00,67.00,127.00,102.00,40.00,45.00,117.00,70.00,53.00,27.00,36.00,21.00,31.00,22.00,18.00,19.00,22.00
76,20092010,K,28.00,998.00,43.00,7.00,4.00,121.00,0.00,15.00,10.00,798.00,1262.00,70.00,126.00,140.00,59.00,66.00,148.00,96.00,91.00,59.00,49.00,46.00,48.00,58.00,69.00,57.00,80.00
78,20092010,K,0.00,1281.00,38.00,29.00,3.00,97.00,0.00,3.00,16.00,1095.00,1634.00,66.00,149.00,165.00,69.00,72.00,199.00,125.00,145.00,60.00,65.00,85.00,81.00,88.00,83.00,105.00,77.00
80,20092010,K,0.00,1024.00,57.00,17.00,2.00,45.00,0.00,7.00,8.00,888.00,1240.00,64.00,124.00,116.00,67.00,55.00,168.00,100.00,126.00,55.00,58.00,46.00,45.00,45.00,60.00,59.00,52.00
82,20092010,K,0.00,1015.00,73.00,33.00,2.00,70.00,0.00,2.00,10.00,825.00,1269.00,65.00,135.00,106.00,55.00,48.00,153.00,98.00,94.00,65.00,62.00,69.00,65.00,59.00,60.00,58.00,77.00
90,20092010,K,0.00,797.00,60.00,12.00,1.00,335.00,0.00,3.00,1.00,385.00,966.00,56.00,117.00,114.00,62.00,30.00,125.00,70.00,60.00,41.00,40.00,46.00,36.00,32.00,45.00,48.00,44.00
94,20092010,K,11.00,1389.00,243.00,8.00,4.00,846.00,0.00,4.00,17.00,267.00,1720.00,105.00,179.00,173.00,102.00,77.00,227.00,127.00,132.00,63.00,55.00,59.00,90.00,80.00,87.00,79.00,85.00
96,20092010,K,0.00,1567.00,86.00,13.00,7.00,413.00,0.00,6.00,18.00,1024.00,1907.00,120.00,200.00,215.00,102.00,93.00,246.00,142.00,148.00,71.00,71.00,86.00,73.00,71.00,87.00,93.00,89.00
98,20092010,K,0.00,1900.00,79.00,15.00,3.00,711.00,0.00,1.00,25.00,1066.00,2384.00,123.00,246.00,266.00,98.00,104.00,292.00,169.00,199.00,120.00,81.00,105.00,97.00,131.00,102.00,121.00,130.00
100,20092010,K,32.00,1628.00,118.00,10.00,2.00,812.00,0.00,10.00,21.00,655.00,2082.00,120.00,184.00,204.00,98.00,93.00,261.00,149.00,144.00,96.00,90.00,92.00,97.00,95.00,110.00,119.00,130.00
102,20092010,K,78.00,1312.00,39.00,13.00,0.00,848.00,0.00,4.00,22.00,386.00,1647.00,101.00,172.00,185.00,79.00,89.00,212.00,106.00,118.00,60.00,56.00,71.00,63.00,87.00,80.00,79.00,89.00
104,20092010,K,92.00,1338.00,78.00,14.00,4.00,1127.00,0.00,0.00,31.00,84.00,1682.00,80.00,149.00,188.00,84.00,91.00,211.00,135.00,127.00,71.00,62.00,60.00,80.00,75.00,81.00,83.00,105.00
106,20092010,K,43.00,1319.00,32.00,4.00,4.00,1101.00,1.00,2.00,8.00,167.00,1682.00,92.00,151.00,163.00,100.00,58.00,182.00,138.00,116.00,89.00,74.00,93.00,63.00,85.00,88.00,108.00,82.00
108,20092010,K,44.00,1261.00,88.00,6.00,0.00,957.00,0.00,0.00,11.00,199.00,1595.00,97.00,164.00,182.00,74.00,76.00,225.00,97.00,120.00,61.00,41.00,66.00,58.00,73.00,77.00,93.00,91.00
110,20092010,K,0.00,662.00,125.00,10.00,0.00,153.00,0.00,0.00,5.00,369.00,821.00,51.00,90.00,71.00,42.00,35.00,118.00,75.00,75.00,20.00,29.00,25.00,31.00,34.00,45.00,37.00,43.00
114,20092010,K,16.00,1176.00,832.00,28.00,0.00,161.00,0.00,13.00,20.00,122.00,1330.00,85.00,154.00,134.00,78.00,82.00,197.00,116.00,104.00,64.00,53.00,57.00,52.00,38.00,44.00,45.00,27.00
116,20092010,K,112.00,1334.00,136.00,1.00,1.00,1042.00,0.00,12.00,12.00,130.00,1578.00,64.00,169.00,179.00,79.00,99.00,235.00,121.00,142.00,55.00,55.00,77.00,59.00,57.00,66.00,54.00,67.00
118,20092010,K,25.00,555.00,36.00,1.00,0.00,453.00,0.00,1.00,6.00,58.00,681.00,28.00,70.00,76.00,41.00,27.00,85.00,54.00,57.00,32.00,25.00,32.00,28.00,31.00,29.00,36.00,30.00
120,20092010,K,21.00,311.00,17.00,0.00,0.00,250.00,0.00,0.00,0.00,44.00,388.00,25.00,29.00,28.00,20.00,26.00,54.00,30.00,33.00,15.00,21.00,14.00,16.00,12.00,15.00,27.00,23.00
122,20092010,K,71.00,1346.00,101.00,6.00,1.00,499.00,0.00,1.00,7.00,731.00,1652.00,86.00,178.00,155.00,77.00,61.00,235.00,145.00,114.00,68.00,61.00,83.00,83.00,66.00,78.00,88.00,74.00
126,20092010,K,24.00,647.00,263.00,20.00,0.00,189.00,0.00,3.00,35.00,137.00,795.00,36.00,71.00,70.00,39.00,32.00,120.00,71.00,61.00,31.00,35.00,40.00,41.00,36.00,26.00,45.00,41.00
128.01,20092010,K,11.00,450.00,112.00,4.00,0.00,280.00,0.00,0.00,12.00,42.00,562.00,31.00,60.00,53.00,18.00,18.00,67.00,43.00,49.00,30.00,27.00,31.00,23.00,28.00,24.00,29.00,31.00
130,20092010,K,57.00,1051.00,489.00,14.00,0.00,159.00,0.00,7.00,53.00,329.00,1273.00,77.00,134.00,104.00,63.00,54.00,161.00,114.00,109.00,70.00,60.00,56.00,49.00,74.00,38.00,56.00,54.00
132,20092010,K,21.00,553.00,240.00,2.00,0.00,208.00,0.00,0.00,12.00,91.00,684.00,28.00,69.00,42.00,24.00,27.00,88.00,72.00,69.00,33.00,25.00,42.00,34.00,36.00,36.00,26.00,33.00
134,20092010,K,28.00,834.00,494.00,18.00,0.00,114.00,0.00,0.00,40.00,168.00,1016.00,39.00,89.00,95.00,56.00,66.00,141.00,83.00,85.00,45.00,45.00,52.00,38.00,48.00,35.00,50.00,49.00
136,20092010,K,36.00,816.00,504.00,3.00,1.00,90.00,1.00,2.00,36.00,179.00,994.00,47.00,81.00,105.00,50.00,42.00,125.00,84.00,81.00,59.00,45.00,44.00,53.00,40.00,56.00,44.00,38.00
138,20092010,K,10.00,537.00,356.00,6.00,1.00,52.00,0.00,2.00,13.00,107.00,690.00,31.00,74.00,69.00,30.00,38.00,71.00,64.00,63.00,20.00,32.00,21.00,24.00,23.00,43.00,32.00,55.00
140,20092010,K,12.00,342.00,256.00,3.00,0.00,33.00,0.00,0.00,9.00,41.00,395.00,25.00,33.00,31.00,24.00,17.00,51.00,56.00,42.00,20.00,12.00,16.00,15.00,13.00,14.00,14.00,12.00
142,20092010,K,29.00,584.00,344.00,12.00,2.00,77.00,0.00,3.00,24.00,122.00,719.00,52.00,56.00,80.00,34.00,17.00,94.00,58.00,70.00,36.00,30.00,25.00,32.00,33.00,31.00,32.00,39.00
148,20092010,K,9.00,219.00,173.00,0.00,0.00,22.00,0.00,0.00,2.00,22.00,265.00,16.00,24.00,16.00,15.00,7.00,47.00,27.00,14.00,10.00,16.00,12.00,15.00,9.00,11.00,12.00,14.00
150,20092010,K,14.00,290.00,203.00,0.00,0.00,52.00,0.00,0.00,6.00,29.00,335.00,16.00,31.00,36.00,22.00,17.00,37.00,32.00,38.00,15.00,17.00,17.00,12.00,8.00,14.00,9.00,14.00
152,20092010,K,6.00,414.00,255.00,1.00,0.00,75.00,0.00,1.00,19.00,63.00,498.00,33.00,43.00,55.00,26.00,19.00,70.00,43.00,41.00,20.00,21.00,17.00,26.00,12.00,24.00,24.00,24.00
160,20092010,K,22.00,856.00,411.00,30.00,1.00,183.00,0.00,8.00,24.00,199.00,1035.00,38.00,108.00,92.00,42.00,54.00,136.00,94.00,91.00,53.00,53.00,45.00,50.00,61.00,41.00,39.00,38.00
162,20092010,K,6.00,330.00,177.00,19.00,0.00,39.00,2.00,4.00,19.00,70.00,399.00,31.00,44.00,40.00,22.00,20.00,47.00,33.00,21.00,21.00,17.00,20.00,14.00,23.00,20.00,6.00,20.00
164,20092010,K,13.00,297.00,72.00,66.00,3.00,15.00,0.00,3.00,21.00,117.00,323.00,26.00,46.00,43.00,28.00,17.00,46.00,26.00,28.00,7.00,14.00,4.00,12.00,11.00,5.00,5.00,5.00
166,20092010,K,5.00,385.00,334.00,0.00,1.00,20.00,0.00,0.00,7.00,23.00,499.00,7.00,31.00,38.00,26.00,17.00,57.00,40.00,49.00,32.00,36.00,29.00,23.00,31.00,31.00,21.00,31.00
168,20092010,K,7.00,261.00,150.00,0.00,1.00,73.00,0.00,3.00,4.00,30.00,327.00,8.00,24.00,26.00,22.00,18.00,47.00,29.00,33.00,16.00,14.00,8.00,16.00,17.00,16.00,22.00,11.00
170,20092010,K,23.00,729.00,334.00,3.00,2.00,299.00,0.00,0.00,14.00,77.00,839.00,36.00,84.00,80.00,49.00,31.00,107.00,101.00,88.00,44.00,47.00,22.00,40.00,33.00,18.00,24.00,35.00
172,20092010,K,18.00,610.00,248.00,3.00,0.00,249.00,0.00,1.00,18.00,91.00,761.00,33.00,46.00,64.00,36.00,28.00,85.00,86.00,77.00,37.00,30.00,41.00,47.00,40.00,35.00,40.00,36.00
174,20092010,K,7.00,373.00,179.00,0.00,1.00,138.00,0.00,0.00,7.00,48.00,445.00,26.00,33.00,47.00,19.00,15.00,62.00,51.00,45.00,22.00,17.00,17.00,19.00,16.00,18.00,16.00,22.00
176,20092010,K,10.00,423.00,171.00,6.00,0.00,142.00,0.00,0.00,11.00,93.00,522.00,27.00,47.00,56.00,28.00,26.00,67.00,32.00,50.00,20.00,28.00,23.00,19.00,22.00,21.00,34.00,22.00
178,20092010,K,19.00,602.00,197.00,3.00,0.00,244.00,0.00,3.00,15.00,140.00,743.00,43.00,72.00,70.00,33.00,29.00,103.00,62.00,59.00,38.00,38.00,30.00,25.00,39.00,37.00,36.00,29.00
180,20092010,K,23.00,728.00,254.00,1.00,1.00,259.00,0.00,1.00,13.00,199.00,906.00,42.00,92.00,58.00,34.00,45.00,122.00,89.00,88.00,50.00,36.00,33.00,39.00,40.00,42.00,42.00,54.00
182,20092010,K,33.00,617.00,152.00,3.00,0.00,364.00,0.00,1.00,14.00,83.00,802.00,26.00,82.00,74.00,27.00,29.00,88.00,60.00,81.00,45.00,38.00,22.00,45.00,32.00,40.00,52.00,61.00
184,20092010,K,13.00,387.00,209.00,0.00,0.00,150.00,0.00,1.00,8.00,19.00,490.00,12.00,28.00,40.00,18.00,19.00,59.00,52.00,60.00,27.00,25.00,27.00,20.00,28.00,14.00,28.00,33.00
186,20092010,K,30.00,453.00,183.00,5.00,0.00,218.00,0.00,1.00,6.00,40.00,554.00,16.00,38.00,51.00,35.00,24.00,79.00,52.00,54.00,29.00,35.00,16.00,24.00,12.00,35.00,21.00,33.00
188,20092010,K,19.00,511.00,228.00,0.00,0.00,192.00,0.00,3.00,2.00,86.00,616.00,32.00,60.00,58.00,20.00,30.00,71.00,45.00,57.00,23.00,44.00,32.00,39.00,33.00,20.00,28.00,24.00
190,20092010,K,45.00,1069.00,277.00,6.00,1.00,415.00,1.00,7.00,19.00,343.00,1373.00,60.00,96.00,140.00,47.00,56.00,188.00,119.00,111.00,74.00,48.00,68.00,62.00,83.00,64.00,76.00,81.00
192,20092010,K,22.00,951.00,592.00,6.00,0.00,190.00,0.00,7.00,20.00,136.00,1133.00,64.00,117.00,116.00,48.00,62.00,155.00,91.00,103.00,50.00,52.00,53.00,40.00,40.00,45.00,58.00,39.00
194,20092010,K,50.00,657.00,125.00,1.00,0.00,381.00,1.00,5.00,15.00,129.00,833.00,31.00,79.00,95.00,31.00,49.00,87.00,74.00,74.00,32.00,31.00,33.00,41.00,41.00,37.00,53.00,45.00
196,20092010,K,55.00,891.00,280.00,3.00,0.00,371.00,0.00,1.00,11.00,225.00,1148.00,62.00,114.00,114.00,40.00,60.00,165.00,87.00,76.00,44.00,42.00,41.00,46.00,55.00,60.00,59.00,83.00
198,20092010,K,16.00,327.00,170.00,0.00,0.00,71.00,0.00,1.00,4.00,81.00,402.00,15.00,38.00,21.00,20.00,15.00,60.00,44.00,38.00,15.00,25.00,17.00,19.00,18.00,18.00,14.00,25.00
