,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Total,"8,062,027","8,084,316","8,085,742","8,104,079","8,143,197","8,214,426","8,274,527","8,363,710","8,391,881","8,175,133","8,244,910","8,336,697","8,405,837","8,491,079"
<1,"123,123","122,476","121,436","121,911","121,056","118,022","119,141","120,910","119,530","109,023","120,309","117,780","119,474","119,664"
1,"108,373","121,503","119,431","120,577","119,859","116,632","115,805","118,138","120,234","104,632","107,680","119,066","116,128","117,348"
2,"104,678","106,776","118,611","118,582","117,661","116,016","113,620","113,184","118,291","104,084","102,682","105,490","115,428","113,585"
3,"103,905","103,108","103,835","118,487","116,901","113,138","111,010","111,673","111,816","101,708","102,750","101,114","105,078","113,499"
4,"103,959","102,504","100,876","104,700","117,428","112,015","106,073","111,837","110,459","98,277","100,785","101,442","99,821","103,450"
9-Apr,"544,634","531,773","518,419","509,847","504,348","516,722","499,273","519,022","526,440","473,159","476,997","482,213","482,699","482,871"
14-Oct,"538,525","544,045","539,203","535,694","526,507","526,162","507,573","498,542","475,648","468,154","464,675","464,739","463,561","466,544"
15-17,"302,500","301,220","301,343","304,392","315,744","324,878","325,420","319,311","307,797","309,074","299,296","293,342","283,363","280,414"
18-19,"197,689","189,534","188,029","185,311","191,037","216,500","223,215","231,828","208,912","226,759","207,786","202,895","198,046","193,740"
20-24,"581,199","569,357","557,085","543,486","537,097","564,676","578,365","580,628","560,258","642,585","644,009","646,005","631,907","625,272"
25-29,"665,884","656,472","636,927","624,764","622,038","593,361","600,008","597,650","724,036","730,190","744,521","756,643","768,622","785,587"
30-34,"701,855","709,273","693,687","688,045","665,087","648,712","652,812","643,340","702,385","662,255","679,773","694,963","710,767","720,310"
35-39,"670,660","673,009","664,755","660,040","662,253","666,118","677,565","675,694","629,370","587,407","580,635","587,468","599,648","611,611"
40-44,"617,613","623,609","629,691","635,739","635,390","636,738","641,609","643,889","599,342","567,280","570,739","574,299","571,888","569,935"
45-49,"543,744","551,371","565,189","573,051","583,700","594,520","604,636","614,902","601,866","565,692","562,350","560,192","557,970","556,047"
50-54,"498,147","499,437","504,310","508,663","514,183","524,965","538,107","552,696","554,133","541,684","546,030","547,728","554,523","561,075"
55-59,"387,953","400,225","420,188","438,166","459,677","476,431","475,283","483,987","489,884","475,535","488,048","501,130","512,957","523,052"
60-64,"320,496","325,852","334,697","340,013","343,799","350,488","371,967","388,605","413,925","414,477","433,651","434,872","439,771","448,207"
65-69,"259,578","261,331","268,710","269,165","274,061","286,392","290,990","300,254","301,752","297,167","306,242","327,798","342,523","358,322"
70-74,"233,400","230,458","227,267","218,515","217,247","227,663","230,374","237,728","238,213","234,294","238,747","244,093","250,234","254,306"
75-79,"193,338","192,091","196,104","197,854","197,861","191,599","189,849","189,494","185,763","178,019","179,317","182,556","188,125","192,650"
80-84,"132,925","136,653","140,238","145,149","148,958","145,712","147,197","149,175","145,470","142,272","141,648","140,572","139,034","136,906"
85+,"127,849","132,239","135,711","141,928","151,305","146,966","154,635","161,223","146,357","141,406","146,240","150,297","154,270","156,684"