index,total,White,Black/ African American,Asian,Two or More Races,Hispanic Origin
18,1442.00,292.00,327.00,58.00,43.00,709.00
20,1574.00,66.00,113.00,64.00,13.00,1301.00
22,4240.00,836.00,220.00,502.00,134.00,2513.00
30,1873.00,1324.00,39.00,222.00,49.00,232.00
34,2882.00,2173.00,14.00,329.00,91.00,270.00
36,3940.00,2912.00,43.00,444.00,84.00,440.00
38,1607.00,1385.00,3.00,82.00,44.00,89.00
46,1217.00,1076.00,1.00,43.00,24.00,71.00
50,2401.00,2075.00,6.00,146.00,57.00,115.00
51,2093.00,1098.00,133.00,163.00,103.00,581.00
52.01,1775.00,1592.00,9.00,78.00,13.00,80.00
52.02,2453.00,2186.00,6.00,76.00,67.00,110.00
54,3205.00,2499.00,12.00,280.00,131.00,270.00
56.01,2515.00,2111.00,22.00,107.00,82.00,187.00
56.02,1523.00,1227.00,4.00,123.00,48.00,113.00
58,3308.00,2344.00,15.00,396.00,191.00,348.00
60,2907.00,1786.00,12.00,403.00,260.00,441.00
62,3062.00,2042.00,14.00,379.00,247.00,372.00
64,3484.00,2514.00,51.00,305.00,270.00,327.00
66,3631.00,2570.00,19.00,374.00,176.00,464.00
68,4781.00,2426.00,75.00,853.00,340.00,1048.00
70,2549.00,1444.00,130.00,385.00,139.00,436.00
72,1858.00,226.00,37.00,456.00,115.00,1011.00
74,5330.00,320.00,105.00,1272.00,73.00,3520.00
75,4454.00,3288.00,111.00,145.00,171.00,697.00
76,4440.00,419.00,64.00,488.00,98.00,3350.00
78,5018.00,316.00,171.00,309.00,92.00,4080.00
80,4360.00,321.00,130.00,296.00,101.00,3463.00
82,4072.00,406.00,164.00,253.00,86.00,3128.00
90,2526.00,391.00,47.00,488.00,60.00,1501.00
94,4855.00,1494.00,51.00,1677.00,237.00,1296.00
96,5900.00,643.00,135.00,610.00,153.00,4315.00
98,6121.00,493.00,87.00,1238.00,128.00,4136.00
100,6271.00,778.00,159.00,1909.00,268.00,3127.00
102,4616.00,942.00,36.00,1938.00,139.00,1551.00
104,5530.00,948.00,43.00,3798.00,156.00,569.00
106,5460.00,636.00,61.00,3639.00,120.00,977.00
108,4773.00,962.00,44.00,2385.00,154.00,1201.00
110,2017.00,349.00,60.00,631.00,48.00,899.00
114,4116.00,2496.00,176.00,588.00,120.00,597.00
116,4259.00,1194.00,39.00,2347.00,145.00,501.00
118,2009.00,443.00,10.00,1221.00,48.00,285.00
120,1253.00,158.00,2.00,781.00,66.00,241.00
122,5045.00,920.00,73.00,1454.00,202.00,2379.00
128.01,2006.00,951.00,10.00,784.00,79.00,172.00
130,4733.00,2644.00,36.00,786.00,362.00,879.00
132,2165.00,1275.00,5.00,405.00,167.00,296.00
134,3889.00,2793.00,11.00,397.00,207.00,457.00
136,3924.00,2797.00,21.00,404.00,243.00,415.00
138,3206.00,2337.00,7.00,353.00,169.00,330.00
140,2012.00,1641.00,3.00,123.00,51.00,184.00
142,3238.00,2249.00,19.00,367.00,225.00,365.00
148,1222.00,1161.00,0.00,32.00,5.00,23.00
150,1564.00,1469.00,0.00,41.00,20.00,33.00
160,4246.00,2358.00,127.00,758.00,264.00,710.00
162,1834.00,1373.00,12.00,220.00,61.00,154.00
164,1225.00,342.00,449.00,46.00,18.00,365.00
168,1425.00,1275.00,0.00,58.00,58.00,33.00
170,2882.00,2181.00,5.00,374.00,102.00,207.00
172,2892.00,2024.00,1.00,606.00,74.00,177.00
174,1751.00,1325.00,7.00,269.00,57.00,85.00
176,2239.00,1517.00,13.00,358.00,88.00,255.00
178,2579.00,1449.00,11.00,735.00,107.00,271.00
180,2803.00,1856.00,12.00,524.00,144.00,261.00
182,3039.00,1812.00,5.00,961.00,51.00,201.00
184,1977.00,1523.00,4.00,394.00,12.00,44.00
186,1848.00,1379.00,0.00,354.00,26.00,84.00
188,2615.00,1908.00,0.00,512.00,31.00,160.00
190,4595.00,2311.00,15.00,1404.00,187.00,670.00
192,2320.00,1245.00,17.00,560.00,97.00,387.00
194,3070.00,1287.00,6.00,1187.00,158.00,427.00
196,3849.00,2374.00,16.00,808.00,158.00,484.00
198,1710.00,1485.00,8.00,53.00,19.00,144.00
200,1940.00,1605.00,0.00,131.00,49.00,146.00
202,1758.00,1473.00,1.00,178.00,51.00,54.00
204,1960.00,1769.00,2.00,84.00,24.00,74.00
206,2192.00,1749.00,6.00,183.00,96.00,154.00
207,4659.00,1458.00,2224.00,204.00,159.00,584.00
208,2657.00,1809.00,10.00,514.00,90.00,234.00
210,3307.00,2017.00,8.00,864.00,136.00,277.00
212,3638.00,1526.00,8.00,1501.00,226.00,361.00
214,1811.00,1070.00,8.00,475.00,31.00,225.00
216,3601.00,2976.00,4.00,325.00,78.00,183.00
218,3785.00,3162.00,6.00,136.00,85.00,314.00
220,4452.00,3481.00,23.00,229.00,297.00,255.00
221,3928.00,73.00,3320.00,22.00,81.00,398.00
222,4719.00,3902.00,66.00,190.00,88.00,429.00
228,3426.00,1633.00,123.00,789.00,123.00,711.00
230,4176.00,2893.00,27.00,225.00,50.00,946.00
232,6059.00,4914.00,16.00,372.00,134.00,510.00
234,4710.00,4580.00,0.00,7.00,58.00,44.00
236,5222.00,4887.00,3.00,131.00,74.00,35.00
238,4470.00,4107.00,8.00,115.00,111.00,101.00
240,4634.00,4316.00,11.00,39.00,80.00,167.00
242,2808.00,2449.00,6.00,189.00,12.00,142.00
244,3069.00,2420.00,13.00,292.00,76.00,248.00
246,2911.00,1881.00,2.00,784.00,93.00,126.00
248,2448.00,1437.00,5.00,801.00,57.00,143.00
250,1532.00,606.00,0.00,740.00,81.00,103.00
252,4654.00,2806.00,6.00,1104.00,200.00,525.00
254,3379.00,1651.00,4.00,1360.00,107.00,248.00
256,2956.00,1658.00,2.00,1107.00,57.00,127.00
258,4329.00,2866.00,15.00,934.00,104.00,406.00
260,3463.00,2044.00,5.00,1103.00,118.00,184.00
262,2364.00,1379.00,2.00,731.00,39.00,213.00
264,4440.00,2609.00,6.00,1113.00,150.00,543.00
266,3399.00,2121.00,6.00,826.00,121.00,320.00
268,4017.00,3063.00,12.00,543.00,68.00,315.00
270,2337.00,1901.00,4.00,279.00,59.00,87.00
272,3449.00,2370.00,5.00,732.00,74.00,248.00
274,2885.00,2067.00,6.00,601.00,75.00,129.00
276,3331.00,2153.00,5.00,734.00,74.00,352.00
278,2758.00,1935.00,15.00,408.00,159.00,225.00
280,1685.00,1043.00,29.00,445.00,38.00,123.00
282,2890.00,1970.00,11.00,669.00,58.00,180.00
284,3826.00,2520.00,6.00,631.00,166.00,484.00
286,4984.00,3440.00,81.00,836.00,225.00,389.00
288,3503.00,1945.00,11.00,980.00,80.00,475.00
290,3802.00,2673.00,18.00,592.00,124.00,365.00
292,2442.00,1599.00,25.00,450.00,53.00,311.00
294,2351.00,1509.00,43.00,528.00,69.00,193.00
296,5343.00,3746.00,19.00,856.00,112.00,594.00
298,3355.00,2329.00,7.00,554.00,87.00,365.00
421,3481.00,60.00,667.00,58.00,21.00,2658.00
428,3655.00,2674.00,17.00,632.00,44.00,286.00
430,3291.00,2238.00,14.00,695.00,35.00,303.00
432,3860.00,2088.00,15.00,1059.00,65.00,632.00
434,3529.00,2290.00,15.00,771.00,91.00,354.00
436,4020.00,2783.00,17.00,738.00,80.00,391.00
462.01,2447.00,1770.00,48.00,290.00,128.00,189.00
464,2537.00,2227.00,2.00,99.00,64.00,127.00
468,982.00,885.00,1.00,32.00,9.00,55.00
470,3020.00,2828.00,2.00,29.00,90.00,62.00
472,2969.00,2802.00,15.00,6.00,35.00,60.00
474,2983.00,2849.00,2.00,8.00,34.00,32.00
476,3794.00,3522.00,6.00,103.00,52.00,77.00
478,4916.00,3203.00,40.00,386.00,148.00,1067.00
480,3442.00,2222.00,66.00,485.00,88.00,509.00
484,5244.00,3371.00,310.00,338.00,262.00,905.00
486,3576.00,800.00,163.00,1113.00,335.00,1095.00
488,4393.00,2306.00,363.00,716.00,229.00,706.00
489,4020.00,27.00,1734.00,4.00,44.00,2187.00
490,6153.00,3534.00,834.00,438.00,358.00,824.00
492,3346.00,1157.00,841.00,502.00,270.00,472.00
494,5596.00,2898.00,924.00,628.00,359.00,697.00
610.02,2747.00,2618.00,8.00,19.00,29.00,69.00
726,2535.00,147.00,2137.00,44.00,66.00,122.00
902,4884.00,61.00,3488.00,94.00,76.00,1143.00
906,4675.00,18.00,3490.00,10.00,37.00,1099.00