,2015,2014,2013,2012,2011,
0-5,200391.86,199256.268,191819.026,187291.355,182350.44,
5-9,166114.305,167794.752,163305.387,164200.64,159556.635,
10-14,155567.365,152063.994,155528.94,153938.1,157023.99,
15-19,147657.16,149442.201,152936.791,156503.735,162089.28,
20-24,184571.45,188769.096,194411.175,200119.53,200078.955,
25-29,250489.825,243826.749,238477.708,233472.785,227938.05,
30-34,229395.945,228095.991,222924.814,215513.34,210209.535,
35-39,197755.125,191390.889,186634.728,179594.45,179817.795,
40-44,168751.04,170416.545,171081.834,169331.91,164621.925,
45-49,160840.835,159929.373,160713.238,161635.005,162089.28,
50-54,160840.835,162551.166,160713.238,161635.005,162089.28,
55-59,155567.365,152063.994,150344.642,143675.56,146893.41,
60-64,134473.485,136333.236,132199.599,135978.655,129164.895,
65-69,113379.605,107493.513,98501.662,92362.86,88642.575,
70-74,71191.845,68166.618,72580.172,71837.78,68381.415,
75-79,55371.435,52435.86,54435.129,51312.7,48120.255,
80-84,42187.76,41948.688,38882.235,41050.16,45587.61,
>85,44824.495,47192.274,44066.533,43615.795,40522.32,
,,,,,,
,,,,,,
,,,,,,